Напряжение (В),Ток (нА)
400,5.19
350,4.68
300,4.5
250,4.33
200,4.14
160,3.95
140,3.91
120,3.79
110,3.73
100,3.64
90,3.53
80,3.38
70,2.78
60,2.02
50,1.77
40,1.46
