SpectrumNumber	Isotope	Detector	Conditions	Voltage (V)	Current (nA)	Temperature (deg)	Energy(keV)	ΔEnergy(keV)	FWHM(keV)	ΔFWHM(keV)	Amplitude	ΔAmplitude	Adj.R^2
12	Ra-226	det3	vacuum	80	3.38	21.2	4863.34	0.68	90.10	1.71	9.13	0.14	0.78398
12	Ra-226	det3	vacuum	80	3.38	21.2	5401.10	1.05	93.89	2.65	6.51	0.15	0.77613
12	Ra-226	det3	vacuum	80	3.38	21.2	5586.91	1.05	84.11	2.65	9.02	0.15	0.77613
12	Ra-226	det3	vacuum	80	3.38	21.2	6109.99	0.64	90.09	1.62	9.23	0.14	0.80623
12	Ra-226	det3	vacuum	80	3.38	21.2	7818.96	0.60	87.81	1.51	10.07	0.14	0.81908
13	Ra-226	det3	vacuum	70	2.78	21.2	4865.51	0.66	86.93	1.65	9.61	0.15	0.78711
13	Ra-226	det3	vacuum	70	2.78	21.2	5400.44	1.23	97.30	3.10	5.90	0.16	0.73437
13	Ra-226	det3	vacuum	70	2.78	21.2	5587.39	1.23	88.06	3.10	8.37	0.16	0.73437
13	Ra-226	det3	vacuum	70	2.78	21.2	6109.70	0.66	84.60	1.64	9.08	0.15	0.78608
13	Ra-226	det3	vacuum	70	2.78	21.2	7820.52	0.53	82.41	1.34	10.10	0.14	0.84145
14	Ra-226	det3	vacuum	60	2.02	21.2	4866.63	0.69	92.85	1.72	9.03	0.14	0.78810
14	Ra-226	det3	vacuum	60	2.02	21.2	5402.07	1.14	93.10	2.86	6.36	0.16	0.75602
14	Ra-226	det3	vacuum	60	2.02	21.2	5589.12	1.14	82.04	2.86	9.29	0.16	0.75602
14	Ra-226	det3	vacuum	60	2.02	21.2	6112.92	0.62	84.44	1.54	9.18	0.14	0.80590
14	Ra-226	det3	vacuum	60	2.02	21.2	7822.16	0.62	88.81	1.55	10.03	0.14	0.82330
15	Ra-226	det3	vacuum	50	1.77	21.2	4865.82	0.70	85.69	1.76	9.68	0.17	0.76112
15	Ra-226	det3	vacuum	50	1.77	21.2	5399.36	1.19	96.42	3.01	6.00	0.16	0.75595
15	Ra-226	det3	vacuum	50	1.77	21.2	5586.08	1.19	83.94	3.01	9.05	0.16	0.75595
15	Ra-226	det3	vacuum	50	1.77	21.2	6105.91	0.54	81.52	1.35	9.69	0.13	0.83713
15	Ra-226	det3	vacuum	50	1.77	21.2	7813.77	0.66	89.01	1.66	9.40	0.15	0.79326
16	Ra-226	det3	vacuum	40	1.46	21.2	4848.03	0.69	87.09	1.72	9.17	0.15	0.77158
16	Ra-226	det3	vacuum	40	1.46	21.2	5382.26	1.06	86.44	2.66	6.24	0.16	0.78090
16	Ra-226	det3	vacuum	40	1.46	21.2	5568.78	1.06	79.15	2.66	9.64	0.16	0.78090
16	Ra-226	det3	vacuum	40	1.46	21.2	6089.66	0.59	79.21	1.48	9.76	0.15	0.80490
16	Ra-226	det3	vacuum	40	1.46	21.2	7795.58	0.56	79.13	1.39	10.37	0.15	0.81971
