Пик,Напряжение (В),Амплитуда,ΔАмплитуда
"4870,62 кэВ",40,19.31,0.23
"4870,62 кэВ",50,18.53,0.24
"4870,62 кэВ",60,18.98,0.24
"4870,62 кэВ",70,18.04,0.23
"4870,62 кэВ",80,18.03,0.22
"4870,62 кэВ",90,19.3,0.22
"4870,62 кэВ",100,18.7,0.25
"4870,62 кэВ",110,18.95,0.23
"4870,62 кэВ",120,19.67,0.24
"4870,62 кэВ",140,18.35,0.24
"4870,62 кэВ",160,18.44,0.22
"4870,62 кэВ",200,18.92,0.24
"4870,62 кэВ",250,18.07,0.21
"4870,62 кэВ",300,18.71,0.22
"4870,62 кэВ",350,18.53,0.22
"4870,62 кэВ",400,18.43,0.24
"5407,45 кэВ",40,13.59,0.25
"5407,45 кэВ",50,13.69,0.25
"5407,45 кэВ",60,13.06,0.24
"5407,45 кэВ",70,13.27,0.25
"5407,45 кэВ",80,13.54,0.25
"5407,45 кэВ",90,13.86,0.26
"5407,45 кэВ",100,12.37,0.23
"5407,45 кэВ",110,12.99,0.23
"5407,45 кэВ",120,13.65,0.24
"5407,45 кэВ",140,13.29,0.25
"5407,45 кэВ",160,13.65,0.24
"5407,45 кэВ",200,13.02,0.25
"5407,45 кэВ",250,13.36,0.23
"5407,45 кэВ",300,13.14,0.26
"5407,45 кэВ",350,12.9,0.24
"5407,45 кэВ",400,13.14,0.26
"5590,3 кэВ",40,19.88,0.25
"5590,3 кэВ",50,19.68,0.25
"5590,3 кэВ",60,19.74,0.24
"5590,3 кэВ",70,18.92,0.25
"5590,3 кэВ",80,20.5,0.25
"5590,3 кэВ",90,19.42,0.26
"5590,3 кэВ",100,19.53,0.23
"5590,3 кэВ",110,20.02,0.23
"5590,3 кэВ",120,19.12,0.24
"5590,3 кэВ",140,17.7,0.25
"5590,3 кэВ",160,19.94,0.24
"5590,3 кэВ",200,19.15,0.25
"5590,3 кэВ",250,19.24,0.23
"5590,3 кэВ",300,18.9,0.26
"5590,3 кэВ",350,19.29,0.24
"5590,3 кэВ",400,18.7,0.26
"6114,68 кэВ",40,20.03,0.26
"6114,68 кэВ",50,19.64,0.22
"6114,68 кэВ",60,20.8,0.24
"6114,68 кэВ",70,19.71,0.21
"6114,68 кэВ",80,20.0,0.24
"6114,68 кэВ",90,19.88,0.21
"6114,68 кэВ",100,20.71,0.22
"6114,68 кэВ",110,20.4,0.23
"6114,68 кэВ",120,18.93,0.23
"6114,68 кэВ",140,20.14,0.22
"6114,68 кэВ",160,20.32,0.22
"6114,68 кэВ",200,19.47,0.21
"6114,68 кэВ",250,19.65,0.23
"6114,68 кэВ",300,19.65,0.22
"6114,68 кэВ",350,20.95,0.22
"6114,68 кэВ",400,18.72,0.21
"7833,46 кэВ",40,22.21,0.24
"7833,46 кэВ",50,23.03,0.25
"7833,46 кэВ",60,21.21,0.22
"7833,46 кэВ",70,20.66,0.24
"7833,46 кэВ",80,21.73,0.25
"7833,46 кэВ",90,22.19,0.25
"7833,46 кэВ",100,21.54,0.25
"7833,46 кэВ",110,20.35,0.22
"7833,46 кэВ",120,21.3,0.24
"7833,46 кэВ",140,21.3,0.22
"7833,46 кэВ",160,21.28,0.21
"7833,46 кэВ",200,20.64,0.22
"7833,46 кэВ",250,21.54,0.24
"7833,46 кэВ",300,21.96,0.23
"7833,46 кэВ",350,20.71,0.22
"7833,46 кэВ",400,20.89,0.23
