Пик,Напряжение (В),ПШПВ (кэВ),ΔПШПВ (кэВ)
"4870,62 кэВ",40,63.38,0.91
"4870,62 кэВ",50,65.44,1.02
"4870,62 кэВ",60,65.41,1.01
"4870,62 кэВ",70,65.51,1.0
"4870,62 кэВ",80,67.36,1.0
"4870,62 кэВ",90,64.48,0.9
"4870,62 кэВ",100,65.78,1.04
"4870,62 кэВ",110,64.98,0.95
"4870,62 кэВ",120,63.13,0.91
"4870,62 кэВ",140,64.34,0.99
"4870,62 кэВ",160,67.63,0.99
"4870,62 кэВ",200,63.98,0.97
"4870,62 кэВ",250,67.8,0.93
"4870,62 кэВ",300,65.72,0.94
"4870,62 кэВ",350,66.99,0.96
"4870,62 кэВ",400,68.79,1.08
"5407,45 кэВ",40,57.89,1.25
"5407,45 кэВ",50,56.76,1.25
"5407,45 кэВ",60,64.48,1.41
"5407,45 кэВ",70,56.82,1.28
"5407,45 кэВ",80,60.23,1.32
"5407,45 кэВ",90,57.83,1.3
"5407,45 кэВ",100,64.52,1.43
"5407,45 кэВ",110,60.95,1.29
"5407,45 кэВ",120,58.36,1.24
"5407,45 кэВ",140,61.66,1.38
"5407,45 кэВ",160,59.57,1.23
"5407,45 кэВ",200,62.4,1.42
"5407,45 кэВ",250,61.56,1.28
"5407,45 кэВ",300,58.52,1.36
"5407,45 кэВ",350,63.28,1.42
"5407,45 кэВ",400,64.57,1.51
"5590,3 кэВ",40,55.58,1.25
"5590,3 кэВ",50,55.64,1.25
"5590,3 кэВ",60,53.26,1.41
"5590,3 кэВ",70,53.14,1.28
"5590,3 кэВ",80,52.55,1.32
"5590,3 кэВ",90,54.77,1.3
"5590,3 кэВ",100,57.97,1.43
"5590,3 кэВ",110,54.53,1.29
"5590,3 кэВ",120,56.08,1.24
"5590,3 кэВ",140,59.24,1.38
"5590,3 кэВ",160,56.08,1.23
"5590,3 кэВ",200,55.82,1.42
"5590,3 кэВ",250,56.44,1.28
"5590,3 кэВ",300,57.76,1.36
"5590,3 кэВ",350,58.09,1.42
"5590,3 кэВ",400,57.96,1.51
"6114,68 кэВ",40,53.86,0.83
"6114,68 кэВ",50,54.72,0.74
"6114,68 кэВ",60,50.56,0.7
"6114,68 кэВ",70,53.75,0.68
"6114,68 кэВ",80,53.64,0.76
"6114,68 кэВ",90,53.81,0.69
"6114,68 кэВ",100,54.83,0.7
"6114,68 кэВ",110,53.94,0.73
"6114,68 кэВ",120,55.49,0.82
"6114,68 кэВ",140,51.79,0.66
"6114,68 кэВ",160,53.72,0.69
"6114,68 кэВ",200,55.29,0.72
"6114,68 кэВ",250,54.68,0.77
"6114,68 кэВ",300,54.3,0.72
"6114,68 кэВ",350,54.0,0.68
"6114,68 кэВ",400,57.28,0.78
"7833,46 кэВ",40,48.05,0.61
"7833,46 кэВ",50,49.6,0.63
"7833,46 кэВ",60,50.49,0.63
"7833,46 кэВ",70,49.78,0.7
"7833,46 кэВ",80,49.8,0.68
"7833,46 кэВ",90,49.93,0.67
"7833,46 кэВ",100,51.83,0.7
"7833,46 кэВ",110,53.22,0.69
"7833,46 кэВ",120,52.22,0.7
"7833,46 кэВ",140,50.31,0.62
"7833,46 кэВ",160,50.66,0.58
"7833,46 кэВ",200,53.69,0.68
"7833,46 кэВ",250,50.36,0.66
"7833,46 кэВ",300,49.3,0.62
"7833,46 кэВ",350,52.5,0.66
"7833,46 кэВ",400,50.99,0.67
