Пик,Напряжение (В),Нормированная энергия,Нормированная ΔЭнергия
"4870,62 кэВ",40,0.9965303257341711,7.605328663250435e-05
"4870,62 кэВ",50,0.9992805770183412,8.427526356574806e-05
"4870,62 кэВ",60,0.9999856115403667,8.427526356574806e-05
"4870,62 кэВ",70,1.0,8.221976933243715e-05
"4870,62 кэВ",80,0.9998170610132353,8.221976933243715e-05
"4870,62 кэВ",90,0.999841726944035,7.399779239919342e-05
"4870,62 кэВ",100,0.9996937313592367,8.633075779905899e-05
"4870,62 кэВ",110,0.9992538555933081,7.810878086581528e-05
"4870,62 кэВ",120,0.9992641330644747,7.605328663250435e-05
"4870,62 кэВ",140,0.9983617710960512,8.221976933243715e-05
"4870,62 кэВ",160,0.9982034980400863,8.221976933243715e-05
"4870,62 кэВ",200,0.9966372114343032,8.01642750991262e-05
"4870,62 кэВ",250,0.9943103919621953,7.605328663250435e-05
"4870,62 кэВ",300,0.9903186221611054,7.810878086581528e-05
"4870,62 кэВ",350,0.9865755671622463,8.01642750991262e-05
"4870,62 кэВ",400,0.9823535820070256,8.838625203236991e-05
"5407,45 кэВ",40,0.9960802039183141,9.44752363733365e-05
"5407,45 кэВ",50,0.9991886244405583,9.44752363733365e-05
"5407,45 кэВ",60,1.0,0.00010558997006431725
"5407,45 кэВ",70,0.9996739678117312,9.632769198849996e-05
"5407,45 кэВ",80,0.9995776401197428,0.00010003260321882689
"5407,45 кэВ",90,0.9996572957111949,9.818014760366342e-05
"5407,45 кэВ",100,0.9991960342630191,0.00010744242567948071
"5407,45 кэВ",110,0.999388689646996,9.632769198849996e-05
"5407,45 кэВ",120,0.9988848217196716,9.262278075817303e-05
"5407,45 кэВ",140,0.9984865437624114,0.00010373751444915381
"5407,45 кэВ",160,0.9976455289131272,9.262278075817303e-05
"5407,45 кэВ",200,0.9964951539761108,0.00010558997006431725
"5407,45 кэВ",250,0.9939628471501822,9.632769198849996e-05
"5407,45 кэВ",300,0.9902301490856279,0.00010188505883399035
"5407,45 кэВ",350,0.9860954681525832,0.00010558997006431725
"5407,45 кэВ",400,0.9817236729007973,0.0001129997925249711
"5590,3 кэВ",40,0.9962811640421849,9.127075738622025e-05
"5590,3 кэВ",50,0.9990568688403423,9.127075738622025e-05
"5590,3 кэВ",60,0.9999409424511029,0.00010200849354930498
"5590,3 кэВ",70,1.0,9.306038008006771e-05
"5590,3 кэВ",80,0.9997333462186166,9.663962546776263e-05
"5590,3 кэВ",90,0.9999481009418782,9.485000277391517e-05
"5590,3 кэВ",100,0.9996724990470258,0.00010379811624315244
"5590,3 кэВ",110,0.999425531115275,9.306038008006771e-05
"5590,3 кэВ",120,0.9989405433652423,8.94811346923728e-05
"5590,3 кэВ",140,0.9987401056235312,0.00010021887085545755
"5590,3 кэВ",160,0.9978971933347293,8.94811346923728e-05
"5590,3 кэВ",200,0.9966355093355668,0.00010200849354930498
"5590,3 кэВ",250,0.993933179067857,9.306038008006771e-05
"5590,3 кэВ",300,0.9902358185823682,9.842924816161009e-05
"5590,3 кэВ",350,0.9860534703468468,0.00010200849354930498
"5590,3 кэВ",400,0.981663525878839,0.00010916698432469481
"6114,68 кэВ",40,0.9961823879302586,5.5636009589029895e-05
"6114,68 кэВ",50,0.999049278777317,4.9090596696202844e-05
"6114,68 кэВ",60,1.0,4.5817890249789325e-05
"6114,68 кэВ",70,0.9999721819952054,4.5817890249789325e-05
"6114,68 кэВ",80,0.9999247277517325,5.0726949919409606e-05
"6114,68 кэВ",90,0.999690729240814,4.5817890249789325e-05
"6114,68 кэВ",100,0.9996629112360195,4.5817890249789325e-05
"6114,68 кэВ",110,0.9993814584816278,4.9090596696202844e-05
"6114,68 кэВ",120,0.9989985518273975,5.399965636582313e-05
"6114,68 кэВ",140,0.9987678260229254,4.418153702658256e-05
"6114,68 кэВ",160,0.9980167398934734,4.5817890249789325e-05
"6114,68 кэВ",200,0.9966078397682925,4.745424347299608e-05
"6114,68 кэВ",250,0.9938162211695016,5.0726949919409606e-05
"6114,68 кэВ",300,0.9903455159830801,4.745424347299608e-05
"6114,68 кэВ",350,0.9859502712255468,4.5817890249789325e-05
"6114,68 кэВ",400,0.981281755479738,5.236330314261637e-05
"7833,46 кэВ",40,0.9960403103312485,3.19639140196284e-05
"7833,46 кэВ",50,0.9990883891721601,3.324247058041354e-05
"7833,46 кэВ",60,1.0,3.324247058041354e-05
"7833,46 кэВ",70,0.9999680360859804,3.5799583701983816e-05
"7833,46 кэВ",80,0.9999488577375686,3.5799583701983816e-05
"7833,46 кэВ",90,0.9998670301176783,3.4521027141198675e-05
"7833,46 кэВ",100,0.9997391744615999,3.707814026276894e-05
"7833,46 кэВ",110,0.9993722287286545,3.5799583701983816e-05
"7833,46 кэВ",120,0.9990679322671876,3.707814026276894e-05
"7833,46 кэВ",140,0.998685643855513,3.19639140196284e-05
"7833,46 кэВ",160,0.9981870067968067,3.068535745884326e-05
"7833,46 кэВ",200,0.9967230595347076,3.5799583701983816e-05
"7833,46 кэВ",250,0.9940930686891727,3.4521027141198675e-05
"7833,46 кэВ",300,0.9902842486945937,3.19639140196284e-05
"7833,46 кэВ",350,0.9859013568042224,3.4521027141198675e-05
"7833,46 кэВ",400,0.9807206456199209,3.4521027141198675e-05
