SpectrumNumber	Isotope	Detector	Conditions	Voltage (V)	Current (nA)	Temperature (deg)	Energy(keV)	ΔEnergy(keV)	FWHM(keV)	ΔFWHM(keV)	Amplitude	ΔAmplitude	Adj.R^2
01	Ra-226	det3	1us	40	1.61	22.0	4851.92	0.35	62.57	0.87	19.49	0.23	0.89161
01	Ra-226	det3	1us	40	1.61	22.0	5381.96	0.48	55.58	1.19	13.82	0.25	0.88649
01	Ra-226	det3	1us	40	1.61	22.0	5571.94	0.48	52.57	1.19	20.10	0.25	0.88649
01	Ra-226	det3	1us	40	1.61	22.0	6093.46	0.28	49.68	0.70	20.84	0.25	0.89953
01	Ra-226	det3	1us	40	1.61	22.0	7797.62	0.24	49.33	0.60	21.94	0.22	0.92282
02	Ra-226	det3	1us	50	2.05	22.0	4867.10	0.38	63.43	0.95	19.05	0.24	0.87714
02	Ra-226	det3	1us	50	2.05	22.0	5398.35	0.47	56.56	1.15	13.42	0.23	0.90131
02	Ra-226	det3	1us	50	2.05	22.0	5588.71	0.47	54.09	1.15	20.06	0.23	0.90131
02	Ra-226	det3	1us	50	2.05	22.0	6112.40	0.26	50.74	0.63	20.62	0.22	0.91805
02	Ra-226	det3	1us	50	2.05	22.0	7823.41	0.23	47.76	0.57	22.86	0.23	0.92671
03	Ra-226	det3	1us	60	2.42	22.0	4871.16	0.38	63.12	0.95	19.13	0.24	0.87572
03	Ra-226	det3	1us	60	2.42	22.0	5403.07	0.54	59.81	1.33	12.89	0.24	0.88827
03	Ra-226	det3	1us	60	2.42	22.0	5592.81	0.54	52.59	1.33	20.72	0.24	0.88827
03	Ra-226	det3	1us	60	2.42	22.0	6118.40	0.28	51.49	0.69	20.52	0.23	0.90681
03	Ra-226	det3	1us	60	2.42	22.0	7831.04	0.24	46.99	0.60	22.29	0.24	0.91738
04	Ra-226	det3	1us	70	3.91	22.0	4870.59	0.38	62.01	0.94	19.26	0.24	0.87527
04	Ra-226	det3	1us	70	3.91	22.0	5405.13	0.45	57.17	1.12	13.55	0.22	0.90351
04	Ra-226	det3	1us	70	3.91	22.0	5594.65	0.45	53.01	1.12	19.94	0.22	0.90351
04	Ra-226	det3	1us	70	3.91	22.0	6118.36	0.27	52.84	0.67	20.03	0.21	0.91501
04	Ra-226	det3	1us	70	3.91	22.0	7832.05	0.25	47.66	0.62	21.90	0.24	0.91384
05	Ra-226	det3	1us	80	4.13	22.0	4870.12	0.35	61.03	0.86	18.88	0.22	0.88899
05	Ra-226	det3	1us	80	4.13	22.0	5404.36	0.48	57.71	1.19	13.94	0.24	0.88714
05	Ra-226	det3	1us	80	4.13	22.0	5594.07	0.48	54.63	1.19	19.47	0.24	0.88714
05	Ra-226	det3	1us	80	4.13	22.0	6117.84	0.27	49.91	0.67	20.96	0.24	0.90692
05	Ra-226	det3	1us	80	4.13	22.0	7830.39	0.23	46.80	0.58	21.96	0.23	0.92205
06	Ra-226	det3	1us	90	4.35	22.0	4869.52	0.34	61.87	0.83	20.23	0.23	0.89870
06	Ra-226	det3	1us	90	4.35	22.0	5402.42	0.51	57.56	1.27	13.39	0.25	0.88577
06	Ra-226	det3	1us	90	4.35	22.0	5593.52	0.51	51.47	1.27	20.62	0.25	0.88577
