Пик,Напряжение (В),Энергия (кэВ),ΔЭнергия (кэВ)
"4870,62 кэВ",40,4851.92,0.35
"4870,62 кэВ",50,4867.1,0.38
"4870,62 кэВ",60,4871.16,0.38
"4870,62 кэВ",70,4870.59,0.38
"4870,62 кэВ",80,4870.12,0.35
"4870,62 кэВ",90,4869.52,0.34
"4870,62 кэВ",100,4868.05,0.4
"4870,62 кэВ",110,4868.82,0.38
"4870,62 кэВ",120,4865.7,0.4
"4870,62 кэВ",140,4863.08,0.36
"4870,62 кэВ",160,4857.66,0.39
"4870,62 кэВ",200,4849.49,0.35
"4870,62 кэВ",250,4834.44,0.42
"4870,62 кэВ",300,4817.24,0.4
"4870,62 кэВ",350,4800.74,0.38
"4870,62 кэВ",400,4779.53,0.37
"5407,45 кэВ",40,5381.96,0.48
"5407,45 кэВ",50,5398.35,0.47
"5407,45 кэВ",60,5403.07,0.54
"5407,45 кэВ",70,5405.13,0.45
"5407,45 кэВ",80,5404.36,0.48
"5407,45 кэВ",90,5402.42,0.51
"5407,45 кэВ",100,5401.95,0.57
"5407,45 кэВ",110,5401.08,0.46
"5407,45 кэВ",120,5399.85,0.5
"5407,45 кэВ",140,5393.97,0.52
"5407,45 кэВ",160,5390.41,0.48
"5407,45 кэВ",200,5379.32,0.54
"5407,45 кэВ",250,5363.66,0.53
"5407,45 кэВ",300,5344.26,0.5
"5407,45 кэВ",350,5325.4,0.55
"5407,45 кэВ",400,5301.63,0.49
"5590,3 кэВ",40,5571.94,0.48
"5590,3 кэВ",50,5588.71,0.47
"5590,3 кэВ",60,5592.81,0.54
"5590,3 кэВ",70,5594.65,0.45
"5590,3 кэВ",80,5594.07,0.48
"5590,3 кэВ",90,5593.52,0.51
"5590,3 кэВ",100,5590.95,0.57
"5590,3 кэВ",110,5588.13,0.46
"5590,3 кэВ",120,5588.1,0.5
"5590,3 кэВ",140,5585.36,0.52
"5590,3 кэВ",160,5579.68,0.48
"5590,3 кэВ",200,5570.36,0.54
"5590,3 кэВ",250,5551.93,0.53
"5590,3 кэВ",300,5533.52,0.5
"5590,3 кэВ",350,5511.86,0.55
"5590,3 кэВ",400,5488.5,0.49
"6114,68 кэВ",40,6093.46,0.28
"6114,68 кэВ",50,6112.4,0.26
"6114,68 кэВ",60,6118.4,0.28
"6114,68 кэВ",70,6118.36,0.27
"6114,68 кэВ",80,6117.84,0.27
"6114,68 кэВ",90,6117.23,0.29
"6114,68 кэВ",100,6115.27,0.27
"6114,68 кэВ",110,6114.29,0.27
"6114,68 кэВ",120,6113.12,0.28
"6114,68 кэВ",140,6107.74,0.3
"6114,68 кэВ",160,6102.91,0.3
"6114,68 кэВ",200,6091.14,0.29
"6114,68 кэВ",250,6073.04,0.28
"6114,68 кэВ",300,6051.7,0.31
"6114,68 кэВ",350,6027.38,0.3
"6114,68 кэВ",400,6001.11,0.27
"7833,46 кэВ",40,7797.62,0.24
"7833,46 кэВ",50,7823.41,0.23
"7833,46 кэВ",60,7831.04,0.24
"7833,46 кэВ",70,7832.05,0.25
"7833,46 кэВ",80,7830.39,0.23
"7833,46 кэВ",90,7829.59,0.23
"7833,46 кэВ",100,7826.98,0.24
"7833,46 кэВ",110,7825.02,0.25
"7833,46 кэВ",120,7822.1,0.25
"7833,46 кэВ",140,7816.78,0.23
"7833,46 кэВ",160,7810.47,0.26
"7833,46 кэВ",200,7795.39,0.26
"7833,46 кэВ",250,7771.34,0.25
"7833,46 кэВ",300,7743.95,0.23
"7833,46 кэВ",350,7713.14,0.22
"7833,46 кэВ",400,7677.12,0.23
