Пик,Напряжение (В),Амплитуда,ΔАмплитуда
"4870,62 кэВ",40,19.49,0.23
"4870,62 кэВ",50,19.05,0.24
"4870,62 кэВ",60,19.13,0.24
"4870,62 кэВ",70,19.26,0.24
"4870,62 кэВ",80,18.88,0.22
"4870,62 кэВ",90,20.23,0.23
"4870,62 кэВ",100,19.03,0.25
"4870,62 кэВ",110,19.84,0.24
"4870,62 кэВ",120,19.99,0.26
"4870,62 кэВ",140,19.28,0.23
"4870,62 кэВ",160,18.94,0.24
"4870,62 кэВ",200,19.91,0.24
"4870,62 кэВ",250,19.17,0.27
"4870,62 кэВ",300,19.39,0.26
"4870,62 кэВ",350,20.04,0.25
"4870,62 кэВ",400,19.41,0.24
"5407,45 кэВ",40,13.82,0.25
"5407,45 кэВ",50,13.42,0.23
"5407,45 кэВ",60,12.89,0.24
"5407,45 кэВ",70,13.55,0.22
"5407,45 кэВ",80,13.94,0.24
"5407,45 кэВ",90,13.39,0.25
"5407,45 кэВ",100,12.85,0.25
"5407,45 кэВ",110,14.2,0.24
"5407,45 кэВ",120,13.79,0.25
"5407,45 кэВ",140,13.57,0.24
"5407,45 кэВ",160,13.54,0.24
"5407,45 кэВ",200,13.19,0.24
"5407,45 кэВ",250,13.19,0.25
"5407,45 кэВ",300,13.66,0.25
"5407,45 кэВ",350,12.93,0.24
"5407,45 кэВ",400,13.51,0.25
"5590,3 кэВ",40,20.1,0.25
"5590,3 кэВ",50,20.06,0.23
"5590,3 кэВ",60,20.72,0.24
"5590,3 кэВ",70,19.94,0.22
"5590,3 кэВ",80,19.47,0.24
"5590,3 кэВ",90,20.62,0.25
"5590,3 кэВ",100,20.78,0.25
"5590,3 кэВ",110,21.3,0.24
"5590,3 кэВ",120,20.73,0.25
"5590,3 кэВ",140,20.16,0.24
"5590,3 кэВ",160,19.47,0.24
"5590,3 кэВ",200,20.24,0.24
"5590,3 кэВ",250,20.83,0.25
"5590,3 кэВ",300,20.3,0.25
"5590,3 кэВ",350,20.8,0.24
"5590,3 кэВ",400,21.24,0.25
"6114,68 кэВ",40,20.84,0.25
"6114,68 кэВ",50,20.62,0.22
"6114,68 кэВ",60,20.52,0.23
"6114,68 кэВ",70,20.03,0.21
"6114,68 кэВ",80,20.96,0.24
"6114,68 кэВ",90,20.19,0.23
"6114,68 кэВ",100,20.22,0.21
"6114,68 кэВ",110,20.35,0.22
"6114,68 кэВ",120,20.03,0.22
"6114,68 кэВ",140,20.21,0.24
"6114,68 кэВ",160,20.68,0.25
"6114,68 кэВ",200,20.98,0.25
"6114,68 кэВ",250,21.57,0.24
"6114,68 кэВ",300,20.09,0.24
"6114,68 кэВ",350,20.05,0.24
"6114,68 кэВ",400,21.89,0.24
"7833,46 кэВ",40,21.94,0.22
"7833,46 кэВ",50,22.86,0.23
"7833,46 кэВ",60,22.29,0.24
"7833,46 кэВ",70,21.9,0.24
"7833,46 кэВ",80,21.96,0.23
"7833,46 кэВ",90,22.59,0.23
"7833,46 кэВ",100,22.84,0.24
"7833,46 кэВ",110,22.57,0.26
"7833,46 кэВ",120,22.71,0.24
"7833,46 кэВ",140,22.09,0.22
"7833,46 кэВ",160,22.29,0.26
"7833,46 кэВ",200,21.34,0.23
"7833,46 кэВ",250,22.05,0.24
"7833,46 кэВ",300,22.74,0.23
"7833,46 кэВ",350,22.84,0.22
"7833,46 кэВ",400,22.38,0.23
