Пик,Напряжение (В),Нормированная энергия,Нормированная ΔЭнергия
"4870,62 кэВ",40,0.9960502221236831,7.185146864401909e-05
"4870,62 кэВ",50,0.9991665229637294,7.801016595636358e-05
"4870,62 кэВ",60,1.0,7.801016595636358e-05
"4870,62 кэВ",70,0.9998829847510655,7.801016595636358e-05
"4870,62 кэВ",80,0.999786498493172,7.185146864401909e-05
"4870,62 кэВ",90,0.9996633245469253,6.979856953990426e-05
"4870,62 кэВ",100,0.9993615483786203,8.211596416459324e-05
"4870,62 кэВ",110,0.9995196216096371,7.801016595636358e-05
"4870,62 кэВ",120,0.9988791170891533,8.211596416459324e-05
"4870,62 кэВ",140,0.9983412575238753,7.390436774813391e-05
"4870,62 кэВ",160,0.997228586209445,8.006306506047842e-05
"4870,62 кэВ",200,0.9955513676413832,7.185146864401909e-05
"4870,62 кэВ",250,0.9924617544896903,8.62217623728229e-05
"4870,62 кэВ",300,0.9889307680306129,8.211596416459324e-05
"4870,62 кэВ",350,0.9855434845088233,7.801016595636358e-05
"4870,62 кэВ",400,0.9811892855089958,7.595726685224874e-05
"5407,45 кэВ",40,0.9957133315942447,8.880452459052788e-05
"5407,45 кэВ",50,0.9987456360901589,8.695443032822521e-05
"5407,45 кэВ",60,0.9996188805819656,9.990509016434387e-05
"5407,45 кэВ",70,1.0,8.325424180361989e-05
"5407,45 кэВ",80,0.9998575427418026,8.880452459052788e-05
"5407,45 кэВ",90,0.999498624454916,9.435480737743587e-05
"5407,45 кэВ",100,0.9994116700245878,0.00010545537295125186
"5407,45 кэВ",110,0.9992507118237673,8.510433606592256e-05
"5407,45 кэВ",120,0.9990231502295043,9.250471311513321e-05
"5407,45 кэВ",140,0.9979352948032703,9.620490163973854e-05
"5407,45 кэВ",160,0.9972766612458904,8.880452459052788e-05
"5407,45 кэВ",200,0.9952249067089968,9.990509016434387e-05
"5407,45 кэВ",250,0.9923276590942308,9.80549959020412e-05
"5407,45 кэВ",300,0.9887384762253637,9.250471311513321e-05
"5407,45 кэВ",350,0.9852491984466608,0.00010175518442664654
"5407,45 кэВ",400,0.9808515243851674,9.065461885283054e-05
"5590,3 кэВ",40,0.9959407648378361,8.579625177625053e-05
"5590,3 кэВ",50,0.9989382713842689,8.40088298642453e-05
"5590,3 кэВ",60,0.9996711143681912,9.652078324828186e-05
"5590,3 кэВ",70,1.0,8.043398604023488e-05
"5590,3 кэВ",80,0.9998963295291037,8.579625177625053e-05
"5590,3 кэВ",90,0.9997980213239436,9.115851751226619e-05
"5590,3 кэВ",100,0.999338653892558,0.0001018830489842975
"5590,3 кэВ",110,0.9988346009133727,8.22214079522401e-05
"5590,3 кэВ",120,0.9988292386476367,8.937109560026097e-05
"5590,3 кэВ",140,0.9983394850437471,9.294593942427142e-05
"5590,3 кэВ",160,0.9973242293977284,8.579625177625053e-05
"5590,3 кэВ",200,0.9956583521757393,9.652078324828186e-05
"5590,3 кэВ",250,0.9923641335919138,9.473336133627663e-05
"5590,3 кэВ",300,0.9890734898519122,8.937109560026097e-05
"5590,3 кэВ",350,0.9852019339905088,9.830820516028707e-05
"5590,3 кэВ",400,0.9810265164040647,8.758367368825575e-05
"6114,68 кэВ",40,0.9959237709205021,4.576359832635984e-05
"6114,68 кэВ",50,0.9990193514644351,4.249476987447699e-05
"6114,68 кэВ",60,1.0,4.576359832635984e-05
"6114,68 кэВ",70,0.9999934623430963,4.412918410041841e-05
"6114,68 кэВ",80,0.9999084728033474,4.412918410041841e-05
"6114,68 кэВ",90,0.9998087735355649,4.7398012552301256e-05
"6114,68 кэВ",100,0.9994884283472805,4.412918410041841e-05
"6114,68 кэВ",110,0.9993282557531381,4.412918410041841e-05
"6114,68 кэВ",120,0.999137029288703,4.576359832635984e-05
"6114,68 кэВ",140,0.9982577144351464,4.903242677824268e-05
"6114,68 кэВ",160,0.9974682923640168,4.903242677824268e-05
"6114,68 кэВ",200,0.9955445868200838,4.7398012552301256e-05
"6114,68 кэВ",250,0.9925862970711298,4.576359832635984e-05
"6114,68 кэВ",300,0.9890984571129707,5.0666841004184105e-05
"6114,68 кэВ",350,0.9851235617154812,4.903242677824268e-05
"6114,68 кэВ",400,0.980829955543933,4.412918410041841e-05
"7833,46 кэВ",40,0.9956039606488722,3.0643318160634826e-05
"7833,46 кэВ",50,0.9988968405462171,2.9366513237275043e-05
"7833,46 кэВ",60,0.9998710427027406,3.0643318160634826e-05
"7833,46 кэВ",70,1.0,3.192012308399461e-05
"7833,46 кэВ",80,0.9997880503827223,2.9366513237275043e-05
"7833,46 кэВ",90,0.9996859059888535,2.9366513237275043e-05
"7833,46 кэВ",100,0.9993526599038565,3.0643318160634826e-05
"7833,46 кэВ",110,0.9991024061388781,3.192012308399461e-05
"7833,46 кэВ",120,0.998729579101257,3.192012308399461e-05
"7833,46 кэВ",140,0.9980503188820296,2.9366513237275043e-05
"7833,46 кэВ",160,0.9972446549753896,3.31969280073544e-05
"7833,46 кэВ",200,0.995319233150963,3.31969280073544e-05
"7833,46 кэВ",250,0.9922485173102827,3.192012308399461e-05
"7833,46 кэВ",300,0.9887513486252002,2.9366513237275043e-05
"7833,46 кэВ",350,0.9848175126563288,2.8089708313915257e-05
"7833,46 кэВ",400,0.9802184613223868,2.9366513237275043e-05
