Напряжение (В),Ток (нА)
40,1.61
50,2.05
60,2.42
70,3.91
80,4.13
90,4.35
100,4.55
110,4.76
120,4.95
140,5.25
160,5.53
200,6.03
250,6.63
300,7.21
350,7.88
400,8.74
