SpectrumNumber	Isotope	Detector	Conditions	Voltage (V)	Current (nA)	Temperature (deg)	Energy(keV)	ΔEnergy(keV)	FWHM(keV)	ΔFWHM(keV)	Amplitude	ΔAmplitude	Adj.R^2
01	Ra-226	det3n	vacuum	40	1.77	22.4	4849.92	0.41	65.53	1.03	20.48	0.27	0.86795
01	Ra-226	det3n	vacuum	40	1.77	22.4	5379.74	0.53	59.09	1.29	14.69	0.27	0.88674
01	Ra-226	det3n	vacuum	40	1.77	22.4	5570.01	0.53	56.21	1.29	21.47	0.27	0.88674
01	Ra-226	det3n	vacuum	40	1.77	22.4	6091.87	0.31	55.04	0.75	22.41	0.26	0.90284
01	Ra-226	det3n	vacuum	40	1.77	22.4	7797.68	0.27	52.56	0.65	25.40	0.27	0.91700
02	Ra-226	det3n	vacuum	50	2.16	22.4	4864.33	0.35	63.36	0.87	22.01	0.25	0.89566
02	Ra-226	det3n	vacuum	50	2.16	22.4	5397.11	0.55	61.82	1.37	13.87	0.26	0.89011
02	Ra-226	det3n	vacuum	50	2.16	22.4	5587.66	0.55	56.82	1.37	21.54	0.26	0.89011
02	Ra-226	det3n	vacuum	50	2.16	22.4	6111.91	0.31	56.84	0.76	22.23	0.25	0.90494
02	Ra-226	det3n	vacuum	50	2.16	22.4	7821.94	0.27	54.28	0.67	24.22	0.25	0.91695
03	Ra-226	det3n	vacuum	60	2.50	22.4	4869.89	0.42	68.98	1.05	20.26	0.26	0.87170
03	Ra-226	det3n	vacuum	60	2.50	22.4	5402.65	0.49	57.76	1.22	14.22	0.25	0.89948
03	Ra-226	det3n	vacuum	60	2.50	22.4	5593.69	0.49	54.97	1.22	21.55	0.25	0.89948
03	Ra-226	det3n	vacuum	60	2.50	22.4	6117.99	0.30	56.90	0.73	22.02	0.24	0.91246
03	Ra-226	det3n	vacuum	60	2.50	22.4	7830.90	0.29	51.50	0.72	25.46	0.30	0.89831
04	Ra-226	det3n	vacuum	70	2.93	22.4	4871.50	0.39	66.53	0.98	20.02	0.25	0.88121
04	Ra-226	det3n	vacuum	70	2.93	22.4	5403.80	0.55	62.66	1.37	14.02	0.26	0.88926
04	Ra-226	det3n	vacuum	70	2.93	22.4	5594.19	0.55	54.29	1.37	21.68	0.26	0.88926
04	Ra-226	det3n	vacuum	70	2.93	22.4	6119.23	0.28	56.01	0.69	21.82	0.22	0.91921
04	Ra-226	det3n	vacuum	70	2.93	22.4	7831.89	0.30	53.32	0.73	25.29	0.29	0.90074
05	Ra-226	det3n	vacuum	80	3.34	22.4	4872.03	0.36	66.51	0.89	20.97	0.24	0.89902
05	Ra-226	det3n	vacuum	80	3.34	22.4	5404.29	0.54	61.04	1.34	14.30	0.26	0.88839
05	Ra-226	det3n	vacuum	80	3.34	22.4	5594.88	0.54	56.05	1.34	21.68	0.26	0.88839
05	Ra-226	det3n	vacuum	80	3.34	22.4	6119.97	0.30	55.83	0.75	22.62	0.25	0.90561
05	Ra-226	det3n	vacuum	80	3.34	22.4	7832.94	0.28	53.14	0.69	25.78	0.28	0.91095
06	Ra-226	det3n	vacuum	90	3.68	22.4	4871.53	0.41	65.69	1.03	20.68	0.27	0.86834
06	Ra-226	det3n	vacuum	90	3.68	22.4	5404.79	0.53	59.91	1.30	14.51	0.26	0.88816
06	Ra-226	det3n	vacuum	90	3.68	22.4	5595.13	0.53	56.33	1.30	21.31	0.26	0.88816
06	Ra-226	det3n	vacuum	90	3.68	22.4	6120.07	0.31	57.19	0.76	22.28	0.25	0.90583
06	Ra-226	det3n	vacuum	90	3.68	22.4	7833.58	0.28	53.26	0.69	25.12	0.27	0.91133
07	Ra-226	det3n	vacuum	100	3.96	22.4	4873.30	0.42	64.12	1.04	20.03	0.27	0.85906
07	Ra-226	det3n	vacuum	100	3.96	22.4	5404.83	0.55	60.69	1.36	14.28	0.27	0.88808
07	Ra-226	det3n	vacuum	100	3.96	22.4	5595.38	0.55	54.89	1.36	22.32	0.27	0.88808
07	Ra-226	det3n	vacuum	100	3.96	22.4	6120.88	0.32	56.95	0.78	21.92	0.25	0.90046
07	Ra-226	det3n	vacuum	100	3.96	22.4	7832.08	0.30	54.87	0.73	24.24	0.27	0.90639
08	Ra-226	det3n	vacuum	110	4.19	22.4	4872.04	0.42	65.78	1.05	20.52	0.27	0.86312
08	Ra-226	det3n	vacuum	110	4.19	22.4	5403.65	0.53	61.46	1.31	14.25	0.25	0.88765
08	Ra-226	det3n	vacuum	110	4.19	22.4	5595.19	0.53	58.70	1.31	20.35	0.25	0.88765
08	Ra-226	det3n	vacuum	110	4.19	22.4	6119.08	0.32	57.31	0.79	21.79	0.25	0.89837
08	Ra-226	det3n	vacuum	110	4.19	22.4	7832.21	0.30	53.65	0.74	25.21	0.29	0.89753
09	Ra-226	det3n	vacuum	120	4.42	22.4	4870.20	0.39	65.40	0.97	20.15	0.25	0.88076
09	Ra-226	det3n	vacuum	120	4.42	22.4	5403.40	0.51	58.70	1.25	14.64	0.26	0.88820
09	Ra-226	det3n	vacuum	120	4.42	22.4	5593.91	0.51	55.12	1.25	20.91	0.26	0.88820
09	Ra-226	det3n	vacuum	120	4.42	22.4	6119.73	0.30	54.16	0.73	22.49	0.25	0.90606
09	Ra-226	det3n	vacuum	120	4.42	22.4	7831.90	0.30	56.44	0.73	24.26	0.26	0.90916
10	Ra-226	det3n	vacuum	140	4.79	22.4	4868.13	0.39	63.89	0.96	20.98	0.26	0.87881
10	Ra-226	det3n	vacuum	140	4.79	22.4	5400.49	0.51	58.42	1.26	14.87	0.27	0.88731
10	Ra-226	det3n	vacuum	140	4.79	22.4	5589.78	0.51	56.63	1.26	21.21	0.27	0.88731
10	Ra-226	det3n	vacuum	140	4.79	22.4	6114.93	0.29	59.50	0.72	21.28	0.22	0.91890
10	Ra-226	det3n	vacuum	140	4.79	22.4	7827.93	0.28	54.64	0.68	25.58	0.27	0.91577
11	Ra-226	det3n	vacuum	160	5.14	22.4	4864.29	0.37	62.69	0.91	21.29	0.26	0.88602
11	Ra-226	det3n	vacuum	160	5.14	22.4	5396.96	0.53	60.09	1.30	14.51	0.26	0.88913
11	Ra-226	det3n	vacuum	160	5.14	22.4	5587.93	0.53	55.39	1.30	21.44	0.26	0.88913
11	Ra-226	det3n	vacuum	160	5.14	22.4	6111.41	0.28	55.75	0.69	22.51	0.23	0.91829
11	Ra-226	det3n	vacuum	160	5.14	22.4	7822.69	0.28	53.77	0.70	26.17	0.29	0.91008
12	Ra-226	det3n	vacuum	200	5.78	22.4	4858.26	0.38	65.22	0.94	21.55	0.26	0.88603
12	Ra-226	det3n	vacuum	200	5.78	22.4	5387.80	0.51	58.29	1.26	14.71	0.27	0.88958
12	Ra-226	det3n	vacuum	200	5.78	22.4	5579.68	0.51	55.13	1.26	21.59	0.27	0.88958
12	Ra-226	det3n	vacuum	200	5.78	22.4	6101.92	0.29	56.47	0.72	23.10	0.25	0.91332
12	Ra-226	det3n	vacuum	200	5.78	22.4	7811.06	0.29	54.11	0.72	25.09	0.28	0.90440
13	Ra-226	det3n	vacuum	250	6.54	22.4	4844.25	0.39	64.80	0.95	20.81	0.26	0.88202
13	Ra-226	det3n	vacuum	250	6.54	22.4	5375.44	0.54	60.27	1.34	14.39	0.27	0.89070
13	Ra-226	det3n	vacuum	250	6.54	22.4	5563.53	0.54	52.82	1.34	22.72	0.27	0.89070
13	Ra-226	det3n	vacuum	250	6.54	22.4	6087.05	0.30	54.54	0.74	23.09	0.26	0.90427
13	Ra-226	det3n	vacuum	250	6.54	22.4	7789.96	0.30	55.27	0.74	24.46	0.28	0.90287
14	Ra-226	det3n	vacuum	300	7.34	22.4	4828.87	0.41	65.00	1.01	20.75	0.27	0.86997
14	Ra-226	det3n	vacuum	300	7.34	22.4	5355.56	0.51	59.91	1.26	14.37	0.25	0.89532
14	Ra-226	det3n	vacuum	300	7.34	22.4	5545.75	0.51	56.52	1.26	21.29	0.25	0.89532
14	Ra-226	det3n	vacuum	300	7.34	22.4	6066.32	0.30	54.74	0.73	23.86	0.27	0.90604
14	Ra-226	det3n	vacuum	300	7.34	22.4	7761.67	0.30	55.67	0.73	24.05	0.27	0.90682
15	Ra-226	det3n	vacuum	350	8.24	22.4	4808.23	0.38	66.50	0.95	20.71	0.25	0.88721
15	Ra-226	det3n	vacuum	350	8.24	22.4	5333.44	0.52	59.19	1.29	14.18	0.26	0.88999
15	Ra-226	det3n	vacuum	350	8.24	22.4	5520.81	0.52	57.57	1.29	20.73	0.26	0.88999
15	Ra-226	det3n	vacuum	350	8.24	22.4	6037.65	0.31	56.62	0.76	22.44	0.25	0.90445
15	Ra-226	det3n	vacuum	350	8.24	22.4	7725.96	0.27	54.06	0.66	25.43	0.26	0.91790
16	Ra-226	det3n	vacuum	400	9.15	22.4	4783.71	0.37	66.13	0.93	20.41	0.24	0.89142
