Напряжение (В),Ток (нА)
40,1.77
50,2.16
60,2.5
70,2.93
80,3.34
90,3.68
100,3.96
110,4.19
120,4.42
140,4.79
160,5.14
200,5.78
250,6.54
300,7.34
350,8.24
400,9.15
