Voltage_V,Capacitance_nF,InvC2_1_per_uF2,D1InvC2,SmoothedD1InvC2,Sigmoid_A,Sigmoid_x0,Sigmoid_k,Sigmoid_y0
0,2032,0.242187984376,0.235872918757,0.357132452345,0.540943744672,55.7219383527,0.272917742762,0.00219152130791
1,1446.3,0.478060903133,0.263167726809,0.407741670608,0.540943744672,55.7219383527,0.272917742762,0.00219152130791
2,1140.7,0.768523437994,0.568037644207,0.451284970417,0.540943744672,55.7219383527,0.272917742762,0.00219152130791
3,787.1,1.61413619155,0.604260666211,0.48820174646,0.540943744672,55.7219383527,0.272917742762,0.00219152130791
4,711.2,1.97704477042,0.590659048935,0.518931393421,0.540943744672,55.7219383527,0.272917742762,0.00219152130791
5,598.1,2.79545428942,0.65598747126,0.543913305987,0.540943744672,55.7219383527,0.272917742762,0.00219152130791
6,551.4,3.28901971294,0.62242386158,0.563586878843,0.540943744672,55.7219383527,0.272917742762,0.00219152130791
7,497.5,4.04030201258,0.64616968003,0.578391506675,0.540943744672,55.7219383527,0.272917742762,0.00219152130791
8,467.2,4.581359073,0.5519605857,0.588766584169,0.540943744672,55.7219383527,0.272917742762,0.00219152130791
9,440.9,5.14422318397,0.561416089248,0.595151506011,0.540943744672,55.7219383527,0.272917742762,0.00219152130791
10,418.7,5.70419125149,0.468691423273,0.597985666887,0.540943744672,55.7219383527,0.272917742762,0.00219152130791
11,405.5,6.08160603052,0.510665001653,0.597708461482,0.540943744672,55.7219383527,0.272917742762,0.00219152130791
12,385.6,6.7255212548,0.595755276151,0.594759284483,0.540943744672,55.7219383527,0.272917742762,0.00219152130791
13,370.8,7.27311658282,0.54941111694,0.589577530576,0.540943744672,55.7219383527,0.272917742762,0.00219152130791
14,357.5,7.82434348868,0.552090052712,0.582602594445,0.540943744672,55.7219383527,0.272917742762,0.00219152130791
15,345.5,8.37729668825,0.553822212635,0.574273870778,0.540943744672,55.7219383527,0.272917742762,0.00219152130791
16,334.6,8.93198791395,0.550910975444,0.561446824849,0.540943744672,55.7219383527,0.272917742762,0.00219152130791
17,324.8,9.47911863913,0.547560689368,0.545268700073,0.540943744672,55.7219383527,0.272917742762,0.00219152130791
18,315.8,10.0271092927,0.54829843706,0.541351241316,0.540943744672,55.7219383527,0.272917742762,0.00219152130791
19,307.5,10.5757155133,0.542000909214,0.539026646967,0.540943744672,55.7219383527,0.272917742762,0.00219152130791
20,300,11.1111111111,0.540299493118,0.536612102506,0.540943744672,55.7219383527,0.272917742762,0.00219152130791
21,292.9,11.6563144995,0.544408954851,0.538460340211,0.540943744672,55.7219383527,0.272917742762,0.00219152130791
