Voltage_V,Capacitance_pF,InvC2_1_per_nF2,D1InvC2,SmoothedD1InvC2,Sigmoid_A,Sigmoid_x0,Sigmoid_k,Sigmoid_y0
59,24.3,1693.50878084,6.92638719657,7.81146248179,31.4920005125,54.0074993885,0.229422626605,0.198947974901
60,24.3,1693.50878084,7.01242878482,6.53199900083,31.4920005125,54.0074993885,0.229422626605,0.198947974901
61,24.2,1707.53363841,7.01242878482,5.47034194557,31.4920005125,54.0074993885,0.229422626605,0.198947974901
62,24.2,1707.53363841,0,4.67870713351,31.4920005125,54.0074993885,0.229422626605,0.198947974901
63,24.2,1707.53363841,7.09990140798,3.87522227106,31.4920005125,54.0074993885,0.229422626605,0.198947974901
64,24.1,1721.73344123,7.09990140798,2.69857455857,31.4920005125,54.0074993885,0.229422626605,0.198947974901
65,24.1,1721.73344123,0,2.16963908553,31.4920005125,54.0074993885,0.229422626605,0.198947974901
66,24.1,1721.73344123,0,2.0129343668,31.4920005125,54.0074993885,0.229422626605,0.198947974901
67,24.1,1721.73344123,0,1.75321783885,31.4920005125,54.0074993885,0.229422626605,0.198947974901
68,24.1,1721.73344123,7.18883494124,1.65345385259,31.4920005125,54.0074993885,0.229422626605,0.198947974901
69,24,1736.11111111,7.18883494124,1.75049844797,31.4920005125,54.0074993885,0.229422626605,0.198947974901
70,24,1736.11111111,0,2.0586991717,31.4920005125,54.0074993885,0.229422626605,0.198947974901
71,24,1736.11111111,0,1.83543722537,31.4920005125,54.0074993885,0.229422626605,0.198947974901
72,24,1736.11111111,0,1.63718344575,31.4920005125,54.0074993885,0.229422626605,0.198947974901
73,24,1736.11111111,0,1.46743782069,31.4920005125,54.0074993885,0.229422626605,0.198947974901
74,24,1736.11111111,0,1.33792047817,31.4920005125,54.0074993885,0.229422626605,0.198947974901
75,24,1736.11111111,0,1.25216060766,31.4920005125,54.0074993885,0.229422626605,0.198947974901
76,24,1736.11111111,0,1.22204345568,31.4920005125,54.0074993885,0.229422626605,0.198947974901
77,24,1736.11111111,0,1.25112766345,31.4920005125,54.0074993885,0.229422626605,0.198947974901
78,24,1736.11111111,0,0.948691392524,31.4920005125,54.0074993885,0.229422626605,0.198947974901
79,24,1736.11111111,7.2792600114,1.00541021945,31.4920005125,54.0074993885,0.229422626605,0.198947974901
80,23.9,1750.66963113,7.2792600114,1.13697218573,31.4920005125,54.0074993885,0.229422626605,0.198947974901
81,23.9,1750.66963113,0,0.947781611747,31.4920005125,54.0074993885,0.229422626605,0.198947974901
82,23.9,1750.66963113,0,0.729330050904,31.4920005125,54.0074993885,0.229422626605,0.198947974901
83,23.9,1750.66963113,0,0.481617503201,31.4920005125,54.0074993885,0.229422626605,0.198947974901
84,23.9,1750.66963113,0,0.612464415807,31.4920005125,54.0074993885,0.229422626605,0.198947974901
85,23.9,1750.66963113,0,0.833997531896,31.4920005125,54.0074993885,0.229422626605,0.198947974901
86,23.9,1750.66963113,0,0.745665930989,31.4920005125,54.0074993885,0.229422626605,0.198947974901
