Airdepth(mm)	Энергия(keV)	ΔЭнергии(keV)
12	3543.26	2.04
12	4214.05	3.93
12	4415.63	3.93
12	4986.1	3.93
12	6849.74	0.43
17	2993.59	0.72
17	3692.63	1.28
17	3931.64	1.28
17	4567.34	0.55
17	6526.45	0.5
27	5792.7	0.83
27	3571.86	0.9
27	1518.61	1.53
27	2486.56	1.89
27	2794.17	1.89
37	1150.31	1.67
37	2313.64	1.67
37	4961.65	1.32
47	4013.78	2.26
57	2875.97	3.65
