SpectrumNumber	Isotope	Detector	Conditions	Voltage (V)	Current (nA)	Temperature (deg)	Energy(keV)	ΔEnergy(keV)	FWHM(keV)	ΔFWHM(keV)	Amplitude	ΔAmplitude	Adj.R^2
10	Ra-226	det4	HV-CSU	140	0	21.4	6106.62	0.33	58.88	0.82	21.39	0.25	0.89713
10	Ra-226	det4	HV-CSU	140	0	21.4	7823.73	0.30	56.29	0.74	22.38	0.25	0.90660
11	Ra-226	det4	HV-CSU	160	0	21.4	4850.93	0.45	71.20	1.11	19.07	0.25	0.86454
11	Ra-226	det4	HV-CSU	160	0	21.4	5384.13	0.62	69.00	1.55	12.83	0.24	0.87509
11	Ra-226	det4	HV-CSU	160	0	21.4	5576.42	0.62	65.63	1.55	18.61	0.24	0.87509
11	Ra-226	det4	HV-CSU	160	0	21.4	6101.77	0.35	61.20	0.86	21.20	0.25	0.89232
11	Ra-226	det4	HV-CSU	160	0	21.4	7815.76	0.35	61.24	0.86	20.90	0.25	0.89168
12	Ra-226	det4	HV-CSU	200	0	21.4	4842.52	0.44	66.56	1.08	19.85	0.27	0.85942
12	Ra-226	det4	HV-CSU	200	0	21.4	5374.20	0.54	56.75	1.33	14.76	0.29	0.87205
12	Ra-226	det4	HV-CSU	200	0	21.4	5564.73	0.54	54.45	1.33	21.27	0.29	0.87205
12	Ra-226	det4	HV-CSU	200	0	21.4	6089.78	0.33	58.92	0.81	22.07	0.25	0.89879
12	Ra-226	det4	HV-CSU	200	0	21.4	7800.84	0.27	50.53	0.67	23.61	0.26	0.90825
13	Ra-226	det4	HV-CSU	250	0	21.4	4828.27	0.43	66.37	1.06	20.39	0.27	0.86210
13	Ra-226	det4	HV-CSU	250	0	21.4	5357.52	0.56	59.48	1.38	13.78	0.27	0.87623
13	Ra-226	det4	HV-CSU	250	0	21.4	5547.81	0.56	54.38	1.38	20.57	0.27	0.87623
13	Ra-226	det4	HV-CSU	250	0	21.4	6070.83	0.32	58.36	0.78	22.00	0.25	0.90504
13	Ra-226	det4	HV-CSU	250	0	21.4	7776.79	0.27	50.05	0.67	25.48	0.29	0.90722
14	Ra-226	det4	HV-CSU	300	0	21.4	4811.92	0.41	65.75	1.02	20.08	0.26	0.87216
14	Ra-226	det4	HV-CSU	300	0	21.4	5338.62	0.58	61.47	1.44	13.83	0.27	0.87593
14	Ra-226	det4	HV-CSU	300	0	21.4	5528.51	0.58	55.35	1.44	21.09	0.27	0.87593
14	Ra-226	det4	HV-CSU	300	0	21.4	6048.09	0.31	59.18	0.77	22.46	0.25	0.90722
14	Ra-226	det4	HV-CSU	300	0	21.4	7747.20	0.30	52.18	0.73	24.72	0.29	0.89783
15	Ra-226	det4	HV-CSU	350	0	21.4	4791.25	0.41	64.09	1.01	20.82	0.27	0.86969
15	Ra-226	det4	HV-CSU	350	0	21.4	5319.04	0.56	60.90	1.38	13.96	0.26	0.88483
15	Ra-226	det4	HV-CSU	350	0	21.4	5504.81	0.56	55.22	1.38	21.30	0.26	0.88483
15	Ra-226	det4	HV-CSU	350	0	21.4	6024.02	0.30	56.39	0.75	23.91	0.27	0.90584
15	Ra-226	det4	HV-CSU	350	0	21.4	7717.38	0.26	50.61	0.64	25.02	0.26	0.91635
16	Ra-226	det4	HV-CSU	400	0	21.4	4770.43	0.38	65.74	0.93	20.71	0.24	0.89078
16	Ra-226	det4	HV-CSU	400	0	21.4	5293.79	0.56	60.01	1.39	14.10	0.27	0.87665
16	Ra-226	det4	HV-CSU	400	0	21.4	5480.95	0.56	55.81	1.39	20.87	0.27	0.87665
16	Ra-226	det4	HV-CSU	400	0	21.4	5997.22	0.28	56.84	0.70	23.59	0.24	0.91783
16	Ra-226	det4	HV-CSU	400	0	21.4	7681.90	0.29	52.30	0.71	24.57	0.28	0.90384
