Пик,Напряжение (В),Энергия (кэВ),ΔЭнергия (кэВ)
"4870,62 кэВ",40,4857.76,0.39
"4870,62 кэВ",50,4869.72,0.4
"4870,62 кэВ",60,4876.26,0.36
"4870,62 кэВ",70,4875.39,0.35
"4870,62 кэВ",80,4873.84,0.38
"4870,62 кэВ",90,4872.31,0.37
"4870,62 кэВ",100,4870.96,0.39
"4870,62 кэВ",110,4868.73,0.36
"4870,62 кэВ",120,4868.01,0.42
"4870,62 кэВ",140,4866.72,0.4
"4870,62 кэВ",160,4857.27,0.36
"4870,62 кэВ",200,4850.79,0.37
"4870,62 кэВ",250,4836.51,0.39
"4870,62 кэВ",300,4819.63,0.38
"4870,62 кэВ",350,4801.87,0.41
"4870,62 кэВ",400,4785.29,0.4
"5407,45 кэВ",40,5389.45,0.56
"5407,45 кэВ",50,5406.19,0.56
"5407,45 кэВ",60,5407.46,0.53
"5407,45 кэВ",70,5407.85,0.51
"5407,45 кэВ",80,5405.56,0.49
"5407,45 кэВ",90,5404.64,0.49
"5407,45 кэВ",100,5405.0,0.53
"5407,45 кэВ",110,5402.18,0.48
"5407,45 кэВ",120,5400.0,0.53
"5407,45 кэВ",140,5395.87,0.5
"5407,45 кэВ",160,5388.87,0.51
"5407,45 кэВ",200,5381.68,0.52
"5407,45 кэВ",250,5363.33,0.47
"5407,45 кэВ",300,5345.43,0.51
"5407,45 кэВ",350,5326.05,0.53
"5407,45 кэВ",400,5306.03,0.53
"5590,3 кэВ",40,5578.75,0.56
"5590,3 кэВ",50,5594.84,0.56
"5590,3 кэВ",60,5598.1,0.53
"5590,3 кэВ",70,5598.72,0.51
"5590,3 кэВ",80,5597.84,0.49
"5590,3 кэВ",90,5595.32,0.49
"5590,3 кэВ",100,5594.65,0.53
"5590,3 кэВ",110,5593.78,0.48
"5590,3 кэВ",120,5591.02,0.53
"5590,3 кэВ",140,5585.75,0.5
"5590,3 кэВ",160,5580.03,0.51
"5590,3 кэВ",200,5570.77,0.52
"5590,3 кэВ",250,5552.39,0.47
"5590,3 кэВ",300,5531.84,0.51
"5590,3 кэВ",350,5514.52,0.53
"5590,3 кэВ",400,5493.75,0.53
"6114,68 кэВ",40,6101.09,0.29
"6114,68 кэВ",50,6118.86,0.3
"6114,68 кэВ",60,6123.56,0.27
"6114,68 кэВ",70,6124.04,0.28
"6114,68 кэВ",80,6122.25,0.3
"6114,68 кэВ",90,6120.08,0.28
"6114,68 кэВ",100,6118.47,0.29
"6114,68 кэВ",110,6116.65,0.31
"6114,68 кэВ",120,6115.44,0.28
"6114,68 кэВ",140,6109.66,0.28
"6114,68 кэВ",160,6102.34,0.28
"6114,68 кэВ",200,6092.02,0.28
"6114,68 кэВ",250,6072.68,0.28
"6114,68 кэВ",300,6051.09,0.28
"6114,68 кэВ",350,6028.32,0.28
"6114,68 кэВ",400,6006.06,0.31
"7833,46 кэВ",40,7808.19,0.26
"7833,46 кэВ",50,7829.56,0.28
"7833,46 кэВ",60,7835.62,0.26
"7833,46 кэВ",70,7834.51,0.26
"7833,46 кэВ",80,7834.6,0.24
"7833,46 кэВ",90,7831.41,0.25
"7833,46 кэВ",100,7829.75,0.28
"7833,46 кэВ",110,7826.6,0.24
"7833,46 кэВ",120,7824.23,0.24
"7833,46 кэВ",140,7818.06,0.25
"7833,46 кэВ",160,7809.9,0.24
"7833,46 кэВ",200,7794.67,0.26
"7833,46 кэВ",250,7771.25,0.25
"7833,46 кэВ",300,7740.98,0.27
"7833,46 кэВ",350,7711.99,0.26
"7833,46 кэВ",400,7681.62,0.25
