Пик,Напряжение (В),ПШПВ (кэВ),ΔПШПВ (кэВ)
"4870,62 кэВ",40,64.14,0.96
"4870,62 кэВ",50,65.46,1.0
"4870,62 кэВ",60,62.97,0.9
"4870,62 кэВ",70,63.96,0.86
"4870,62 кэВ",80,64.11,0.94
"4870,62 кэВ",90,63.75,0.93
"4870,62 кэВ",100,63.79,0.95
"4870,62 кэВ",110,63.22,0.9
"4870,62 кэВ",120,66.54,1.04
"4870,62 кэВ",140,66.13,0.98
"4870,62 кэВ",160,62.41,0.9
"4870,62 кэВ",200,66.41,0.91
"4870,62 кэВ",250,64.21,0.96
"4870,62 кэВ",300,67.12,0.95
"4870,62 кэВ",350,63.8,1.01
"4870,62 кэВ",400,65.65,0.99
"5407,45 кэВ",40,60.24,1.37
"5407,45 кэВ",50,59.5,1.37
"5407,45 кэВ",60,61.38,1.3
"5407,45 кэВ",70,58.22,1.25
"5407,45 кэВ",80,59.86,1.21
"5407,45 кэВ",90,57.65,1.21
"5407,45 кэВ",100,59.94,1.3
"5407,45 кэВ",110,55.32,1.17
"5407,45 кэВ",120,57.26,1.29
"5407,45 кэВ",140,58.19,1.24
"5407,45 кэВ",160,62.23,1.26
"5407,45 кэВ",200,57.09,1.27
"5407,45 кэВ",250,57.4,1.16
"5407,45 кэВ",300,57.08,1.26
"5407,45 кэВ",350,61.76,1.3
"5407,45 кэВ",400,57.85,1.3
"5590,3 кэВ",40,51.2,1.37
"5590,3 кэВ",50,52.71,1.37
"5590,3 кэВ",60,56.91,1.3
"5590,3 кэВ",70,53.95,1.25
"5590,3 кэВ",80,54.94,1.21
"5590,3 кэВ",90,55.61,1.21
"5590,3 кэВ",100,53.47,1.3
"5590,3 кэВ",110,53.5,1.17
"5590,3 кэВ",120,55.08,1.29
"5590,3 кэВ",140,54.84,1.24
"5590,3 кэВ",160,53.92,1.26
"5590,3 кэВ",200,53.74,1.27
"5590,3 кэВ",250,52.8,1.16
"5590,3 кэВ",300,52.77,1.26
"5590,3 кэВ",350,54.5,1.3
"5590,3 кэВ",400,53.57,1.3
"6114,68 кэВ",40,53.69,0.72
"6114,68 кэВ",50,54.47,0.74
"6114,68 кэВ",60,53.22,0.68
"6114,68 кэВ",70,52.84,0.68
"6114,68 кэВ",80,52.35,0.73
"6114,68 кэВ",90,54.58,0.69
"6114,68 кэВ",100,55.29,0.72
"6114,68 кэВ",110,52.36,0.76
"6114,68 кэВ",120,52.39,0.68
"6114,68 кэВ",140,50.57,0.69
"6114,68 кэВ",160,52.53,0.68
"6114,68 кэВ",200,52.5,0.68
"6114,68 кэВ",250,51.98,0.69
"6114,68 кэВ",300,50.63,0.68
"6114,68 кэВ",350,52.49,0.69
"6114,68 кэВ",400,53.03,0.77
"7833,46 кэВ",40,49.6,0.65
"7833,46 кэВ",50,49.72,0.68
"7833,46 кэВ",60,49.5,0.64
"7833,46 кэВ",70,49.67,0.65
"7833,46 кэВ",80,48.08,0.59
"7833,46 кэВ",90,49.04,0.61
"7833,46 кэВ",100,49.96,0.68
"7833,46 кэВ",110,46.89,0.59
"7833,46 кэВ",120,48.8,0.59
"7833,46 кэВ",140,50.06,0.6
"7833,46 кэВ",160,46.11,0.59
"7833,46 кэВ",200,49.43,0.64
"7833,46 кэВ",250,50.83,0.63
"7833,46 кэВ",300,49.29,0.65
"7833,46 кэВ",350,50.39,0.64
"7833,46 кэВ",400,47.7,0.62
