Напряжение (В),Ток (нА)
40,1.57
50,2.11
60,2.53
70,3.45
80,4.46
90,4.62
100,4.8
110,4.98
120,5.14
140,5.42
160,5.66
200,6.13
250,6.63
300,7.13
350,7.77
400,8.58
