Пик,Напряжение (В),Энергия (кэВ),ΔЭнергия (кэВ)
"4870,62 кэВ",40,4847.3,0.4
"4870,62 кэВ",50,4861.77,0.41
"4870,62 кэВ",60,4866.29,0.42
"4870,62 кэВ",70,4866.63,0.42
"4870,62 кэВ",80,4864.24,0.44
"4870,62 кэВ",90,4863.89,0.39
"4870,62 кэВ",100,4863.09,0.41
"4870,62 кэВ",110,4860.95,0.42
"4870,62 кэВ",120,4860.68,0.42
"4870,62 кэВ",140,4857.43,0.44
"4870,62 кэВ",160,4852.4,0.44
"4870,62 кэВ",200,4842.81,0.45
"4870,62 кэВ",250,4826.98,0.43
"4870,62 кэВ",300,4809.67,0.46
"4870,62 кэВ",350,4793.42,0.44
"4870,62 кэВ",400,4773.96,0.4
"5407,45 кэВ",40,5380.96,0.69
"5407,45 кэВ",50,5395.7,0.63
"5407,45 кэВ",60,5402.65,0.6
"5407,45 кэВ",70,5402.06,0.7
"5407,45 кэВ",80,5400.74,0.64
"5407,45 кэВ",90,5398.89,0.64
"5407,45 кэВ",100,5397.77,0.64
"5407,45 кэВ",110,5395.73,0.58
"5407,45 кэВ",120,5395.08,0.63
"5407,45 кэВ",140,5390.7,0.6
"5407,45 кэВ",160,5385.75,0.68
"5407,45 кэВ",200,5374.68,0.75
"5407,45 кэВ",250,5357.02,0.68
"5407,45 кэВ",300,5337.91,0.68
"5407,45 кэВ",350,5316.15,0.68
"5407,45 кэВ",400,5296.82,0.69
"5590,3 кэВ",40,5570.31,0.69
"5590,3 кэВ",50,5587.29,0.63
"5590,3 кэВ",60,5592.13,0.6
"5590,3 кэВ",70,5591.65,0.7
"5590,3 кэВ",80,5590.2,0.64
"5590,3 кэВ",90,5590.96,0.64
"5590,3 кэВ",100,5586.7,0.64
"5590,3 кэВ",110,5586.25,0.58
"5590,3 кэВ",120,5583.12,0.63
"5590,3 кэВ",140,5580.92,0.6
"5590,3 кэВ",160,5574.21,0.68
"5590,3 кэВ",200,5562.13,0.75
"5590,3 кэВ",250,5547.64,0.68
"5590,3 кэВ",300,5525.82,0.68
"5590,3 кэВ",350,5505.19,0.68
"5590,3 кэВ",400,5483.59,0.69
"6114,68 кэВ",40,6093.04,0.33
"6114,68 кэВ",50,6112.23,0.34
"6114,68 кэВ",60,6117.14,0.33
"6114,68 кэВ",70,6117.73,0.36
"6114,68 кэВ",80,6115.85,0.35
"6114,68 кэВ",90,6114.69,0.36
"6114,68 кэВ",100,6112.33,0.35
"6114,68 кэВ",110,6111.06,0.34
"6114,68 кэВ",120,6108.71,0.37
"6114,68 кэВ",140,6105.19,0.39
"6114,68 кэВ",160,6099.96,0.34
"6114,68 кэВ",200,6087.44,0.37
"6114,68 кэВ",250,6067.86,0.38
"6114,68 кэВ",300,6045.1,0.41
"6114,68 кэВ",350,6022.45,0.41
"6114,68 кэВ",400,5996.93,0.41
"7833,46 кэВ",40,7803.09,0.33
"7833,46 кэВ",50,7826.48,0.33
"7833,46 кэВ",60,7834.28,0.32
"7833,46 кэВ",70,7833.57,0.35
"7833,46 кэВ",80,7832.65,0.35
"7833,46 кэВ",90,7831.96,0.3
"7833,46 кэВ",100,7828.95,0.34
"7833,46 кэВ",110,7826.89,0.39
"7833,46 кэВ",120,7823.44,0.35
"7833,46 кэВ",140,7816.95,0.35
"7833,46 кэВ",160,7811.81,0.38
"7833,46 кэВ",200,7793.76,0.36
"7833,46 кэВ",250,7768.31,0.34
"7833,46 кэВ",300,7740.47,0.35
"7833,46 кэВ",350,7706.76,0.37
"7833,46 кэВ",400,7674.95,0.35
