SpectrumNumber	Isotope	Detector	Conditions	Voltage (V)	Current (nA)	Temperature (deg)	Energy(keV)	ΔEnergy(keV)	FWHM(keV)	ΔFWHM(keV)	Amplitude	ΔAmplitude	Adj.R^2
01	Ra-226	det3	20us	40	1.78	22.0	4847.30	0.40	69.35	0.98	19.11	0.23	0.88876
01	Ra-226	det3	20us	40	1.78	22.0	5380.96	0.69	71.89	1.73	12.20	0.24	0.85967
01	Ra-226	det3	20us	40	1.78	22.0	5570.31	0.69	67.50	1.73	17.49	0.24	0.85967
01	Ra-226	det3	20us	40	1.78	22.0	6093.04	0.33	60.42	0.82	18.74	0.21	0.90250
01	Ra-226	det3	20us	40	1.78	22.0	7803.09	0.33	59.78	0.81	18.51	0.21	0.90188
02	Ra-226	det3	20us	50	2.21	22.0	4861.77	0.41	70.58	1.03	18.23	0.22	0.88220
02	Ra-226	det3	20us	50	2.21	22.0	5395.70	0.63	72.12	1.58	12.06	0.22	0.88296
02	Ra-226	det3	20us	50	2.21	22.0	5587.29	0.63	62.28	1.58	18.06	0.22	0.88296
02	Ra-226	det3	20us	50	2.21	22.0	6112.23	0.34	61.09	0.85	18.67	0.22	0.89816
02	Ra-226	det3	20us	50	2.21	22.0	7826.48	0.33	61.77	0.80	19.55	0.21	0.90783
03	Ra-226	det3	20us	60	2.59	22.0	4866.29	0.42	71.46	1.03	18.75	0.23	0.88328
03	Ra-226	det3	20us	60	2.59	22.0	5402.65	0.60	67.26	1.49	12.60	0.23	0.88528
03	Ra-226	det3	20us	60	2.59	22.0	5592.13	0.60	63.92	1.49	18.59	0.23	0.88528
03	Ra-226	det3	20us	60	2.59	22.0	6117.14	0.33	61.77	0.82	18.84	0.21	0.90629
03	Ra-226	det3	20us	60	2.59	22.0	7834.28	0.32	57.98	0.79	19.21	0.22	0.90306
04	Ra-226	det3	20us	70	3.10	22.0	4866.63	0.42	72.47	1.04	17.59	0.21	0.88462
04	Ra-226	det3	20us	70	3.10	22.0	5402.06	0.70	73.98	1.74	12.06	0.24	0.86480
04	Ra-226	det3	20us	70	3.10	22.0	5591.65	0.70	64.33	1.74	17.88	0.24	0.86480
04	Ra-226	det3	20us	70	3.10	22.0	6117.73	0.36	63.92	0.88	18.03	0.21	0.89879
