Пик,Напряжение (В),ПШПВ (кэВ),ΔПШПВ (кэВ)
"4870,62 кэВ",40,69.35,0.98
"4870,62 кэВ",50,70.58,1.03
"4870,62 кэВ",60,71.46,1.03
"4870,62 кэВ",70,72.47,1.04
"4870,62 кэВ",80,74.87,1.09
"4870,62 кэВ",90,71.01,0.97
"4870,62 кэВ",100,72.45,1.02
"4870,62 кэВ",110,71.8,1.04
"4870,62 кэВ",120,70.13,1.04
"4870,62 кэВ",140,70.13,1.09
"4870,62 кэВ",160,70.54,1.1
"4870,62 кэВ",200,73.65,1.13
"4870,62 кэВ",250,70.98,1.07
"4870,62 кэВ",300,75.52,1.14
"4870,62 кэВ",350,72.42,1.09
"4870,62 кэВ",400,71.26,0.99
"5407,45 кэВ",40,71.89,1.73
"5407,45 кэВ",50,72.12,1.58
"5407,45 кэВ",60,67.26,1.49
"5407,45 кэВ",70,73.98,1.74
"5407,45 кэВ",80,71.3,1.59
"5407,45 кэВ",90,70.12,1.6
"5407,45 кэВ",100,70.63,1.6
"5407,45 кэВ",110,64.98,1.42
"5407,45 кэВ",120,71.61,1.56
"5407,45 кэВ",140,67.35,1.48
"5407,45 кэВ",160,73.26,1.69
"5407,45 кэВ",200,75.46,1.86
"5407,45 кэВ",250,71.35,1.69
"5407,45 кэВ",300,72.82,1.7
"5407,45 кэВ",350,72.12,1.7
"5407,45 кэВ",400,72.34,1.71
"5590,3 кэВ",40,67.5,1.73
"5590,3 кэВ",50,62.28,1.58
"5590,3 кэВ",60,63.92,1.49
"5590,3 кэВ",70,64.33,1.74
"5590,3 кэВ",80,62.03,1.59
"5590,3 кэВ",90,61.96,1.6
"5590,3 кэВ",100,62.7,1.6
"5590,3 кэВ",110,61.99,1.42
"5590,3 кэВ",120,66.25,1.56
"5590,3 кэВ",140,63.88,1.48
"5590,3 кэВ",160,63.22,1.69
"5590,3 кэВ",200,65.42,1.86
"5590,3 кэВ",250,67.0,1.69
"5590,3 кэВ",300,65.43,1.7
"5590,3 кэВ",350,65.88,1.7
"5590,3 кэВ",400,62.62,1.71
"6114,68 кэВ",40,60.42,0.82
"6114,68 кэВ",50,61.09,0.85
"6114,68 кэВ",60,61.77,0.82
"6114,68 кэВ",70,63.92,0.88
"6114,68 кэВ",80,64.94,0.87
"6114,68 кэВ",90,64.5,0.88
"6114,68 кэВ",100,60.23,0.87
"6114,68 кэВ",110,63.08,0.84
"6114,68 кэВ",120,63.78,0.9
"6114,68 кэВ",140,62.67,0.96
"6114,68 кэВ",160,62.51,0.85
"6114,68 кэВ",200,68.08,0.92
"6114,68 кэВ",250,66.8,0.94
"6114,68 кэВ",300,64.61,1.01
"6114,68 кэВ",350,67.21,1.0
"6114,68 кэВ",400,67.49,1.0
"7833,46 кэВ",40,59.78,0.81
"7833,46 кэВ",50,61.77,0.8
"7833,46 кэВ",60,57.98,0.79
"7833,46 кэВ",70,58.58,0.86
"7833,46 кэВ",80,61.92,0.86
"7833,46 кэВ",90,56.96,0.73
"7833,46 кэВ",100,60.21,0.85
"7833,46 кэВ",110,60.23,0.95
"7833,46 кэВ",120,61.9,0.85
"7833,46 кэВ",140,61.73,0.85
"7833,46 кэВ",160,62.45,0.94
"7833,46 кэВ",200,64.54,0.89
"7833,46 кэВ",250,60.41,0.83
"7833,46 кэВ",300,60.34,0.85
"7833,46 кэВ",350,63.85,0.92
"7833,46 кэВ",400,63.7,0.87
