Пик,Напряжение (В),Амплитуда,ΔАмплитуда
"4870,62 кэВ",40,19.11,0.23
"4870,62 кэВ",50,18.23,0.22
"4870,62 кэВ",60,18.75,0.23
"4870,62 кэВ",70,17.59,0.21
"4870,62 кэВ",80,17.65,0.22
"4870,62 кэВ",90,18.34,0.21
"4870,62 кэВ",100,18.54,0.22
"4870,62 кэВ",110,17.89,0.22
"4870,62 кэВ",120,18.47,0.23
"4870,62 кэВ",140,17.92,0.23
"4870,62 кэВ",160,18.46,0.24
"4870,62 кэВ",200,17.61,0.22
"4870,62 кэВ",250,18.06,0.23
"4870,62 кэВ",300,17.45,0.22
"4870,62 кэВ",350,17.76,0.22
"4870,62 кэВ",400,17.96,0.21
"5407,45 кэВ",40,12.2,0.24
"5407,45 кэВ",50,12.06,0.22
"5407,45 кэВ",60,12.6,0.23
"5407,45 кэВ",70,12.06,0.24
"5407,45 кэВ",80,12.68,0.24
"5407,45 кэВ",90,12.13,0.23
"5407,45 кэВ",100,12.25,0.23
"5407,45 кэВ",110,13.28,0.24
"5407,45 кэВ",120,12.56,0.23
"5407,45 кэВ",140,12.97,0.24
"5407,45 кэВ",160,11.65,0.22
"5407,45 кэВ",200,11.4,0.23
"5407,45 кэВ",250,12.0,0.24
"5407,45 кэВ",300,11.89,0.23
"5407,45 кэВ",350,11.45,0.23
"5407,45 кэВ",400,11.83,0.23
"5590,3 кэВ",40,17.49,0.24
"5590,3 кэВ",50,18.06,0.22
"5590,3 кэВ",60,18.59,0.23
"5590,3 кэВ",70,17.88,0.24
"5590,3 кэВ",80,18.3,0.24
"5590,3 кэВ",90,17.97,0.23
"5590,3 кэВ",100,18.25,0.23
"5590,3 кэВ",110,18.28,0.24
"5590,3 кэВ",120,17.02,0.23
"5590,3 кэВ",140,17.28,0.24
"5590,3 кэВ",160,18.53,0.22
"5590,3 кэВ",200,17.82,0.23
"5590,3 кэВ",250,17.46,0.24
"5590,3 кэВ",300,17.83,0.23
"5590,3 кэВ",350,17.26,0.23
"5590,3 кэВ",400,18.03,0.23
"6114,68 кэВ",40,18.74,0.21
"6114,68 кэВ",50,18.67,0.22
"6114,68 кэВ",60,18.84,0.21
"6114,68 кэВ",70,18.03,0.21
"6114,68 кэВ",80,17.79,0.2
"6114,68 кэВ",90,17.73,0.2
"6114,68 кэВ",100,18.76,0.23
"6114,68 кэВ",110,18.51,0.21
"6114,68 кэВ",120,18.45,0.22
"6114,68 кэВ",140,17.62,0.23
"6114,68 кэВ",160,18.79,0.21
"6114,68 кэВ",200,17.12,0.19
"6114,68 кэВ",250,18.12,0.21
"6114,68 кэВ",300,18.29,0.24
"6114,68 кэВ",350,17.7,0.22
"6114,68 кэВ",400,17.15,0.21
"7833,46 кэВ",40,18.51,0.21
"7833,46 кэВ",50,19.55,0.21
"7833,46 кэВ",60,19.21,0.22
"7833,46 кэВ",70,19.69,0.24
"7833,46 кэВ",80,18.88,0.22
"7833,46 кэВ",90,20.37,0.22
"7833,46 кэВ",100,18.83,0.22
"7833,46 кэВ",110,17.65,0.23
"7833,46 кэВ",120,18.61,0.22
"7833,46 кэВ",140,19.1,0.22
"7833,46 кэВ",160,18.16,0.23
"7833,46 кэВ",200,17.76,0.2
"7833,46 кэВ",250,18.75,0.22
"7833,46 кэВ",300,18.77,0.22
"7833,46 кэВ",350,17.95,0.22
"7833,46 кэВ",400,18.23,0.21
