Напряжение (В),Ток (нА)
40,1.78
50,2.21
60,2.59
70,3.1
80,4.02
90,4.32
100,4.57
110,4.78
120,4.98
140,5.28
160,5.56
200,6.06
250,6.62
300,7.17
350,7.77
400,8.59
