SpectrumNumber	Isotope	Detector	Conditions	Voltage (V)	Current (nA)	Temperature (deg)	Energy(keV)	ΔEnergy(keV)	FWHM(keV)	ΔFWHM(keV)	Amplitude	ΔAmplitude	Adj.R^2
04	Ra-226	det1	vacuum	40	317	25.4	4636.82	0.72	207.77	1.81	32.23	0.23	0.92090
04	Ra-226	det1	vacuum	40	317	25.4	5258.31	0.72	317.48	1.81	30.11	0.23	0.92090
04	Ra-226	det1	vacuum	40	317	25.4	5822.05	0.72	188.27	1.81	28.23	0.23	0.92090
04	Ra-226	det1	vacuum	40	317	25.4	7453.88	0.56	188.46	1.45	28.47	0.18	0.93793
05	Ra-226	det1	vacuum	60	426	25.4	4752.26	0.98	267.32	2.46	24.99	0.19	0.90482
05	Ra-226	det1	vacuum	60	426	25.4	5391.54	0.98	351.57	2.46	26.92	0.19	0.90482
05	Ra-226	det1	vacuum	60	426	25.4	5971.87	0.98	245.61	2.46	21.00	0.19	0.90482
05	Ra-226	det1	vacuum	60	426	25.4	7647.11	0.77	249.69	1.99	21.72	0.14	0.91561
06	Ra-226	det1	vacuum	80	525	25.4	4825.07	1.30	319.30	3.32	20.57	0.17	0.88205
06	Ra-226	det1	vacuum	80	525	25.4	5470.40	1.30	396.95	3.32	23.35	0.17	0.88205
06	Ra-226	det1	vacuum	80	525	25.4	6063.95	1.30	289.24	3.32	17.58	0.17	0.88205
06	Ra-226	det1	vacuum	80	525	25.4	7766.69	1.06	300.39	2.82	17.84	0.13	0.88542
07	Ra-226	det1	vacuum	90	570	25.4	4836.58	1.80	386.71	4.73	17.43	0.16	0.86233
07	Ra-226	det1	vacuum	90	570	25.4	5491.74	1.80	434.49	4.73	21.30	0.16	0.86233
07	Ra-226	det1	vacuum	90	570	25.4	6084.40	1.80	354.68	4.73	14.52	0.16	0.86233
07	Ra-226	det1	vacuum	90	570	25.4	7790.26	1.40	368.03	3.86	14.28	0.12	0.85759
08	Ra-226	det1	vacuum	100	623	25.4	4857.10	1.58	366.12	4.12	18.24	0.16	0.87286
08	Ra-226	det1	vacuum	100	623	25.4	5510.96	1.58	428.69	4.12	21.82	0.16	0.87286
08	Ra-226	det1	vacuum	100	623	25.4	6107.70	1.58	349.31	4.12	14.47	0.16	0.87286
08	Ra-226	det1	vacuum	100	623	25.4	7821.00	1.28	350.17	3.51	15.18	0.12	0.87081
09	Ra-226	det1	vacuum	120	716	25.4	4854.16	2.14	416.94	5.57	16.36	0.15	0.85821
09	Ra-226	det1	vacuum	120	716	25.4	5511.18	2.14	460.18	5.57	20.35	0.15	0.85821
09	Ra-226	det1	vacuum	120	716	25.4	6109.48	2.14	379.71	5.57	13.39	0.15	0.85821
09	Ra-226	det1	vacuum	120	716	25.4	7818.92	1.54	385.23	4.32	13.91	0.12	0.85136
10	Ra-226	det1	vacuum	140	801	25.4	4847.84	3.25	457.78	7.80	14.58	0.14	0.84249
10	Ra-226	det1	vacuum	140	801	25.4	5499.40	3.25	502.11	7.80	18.39	0.14	0.84249
10	Ra-226	det1	vacuum	140	801	25.4	6100.37	3.25	428.26	7.80	11.99	0.14	0.84249
10	Ra-226	det1	vacuum	140	801	25.4	7803.62	2.12	427.52	6.44	12.36	0.13	0.81780
11	Ra-226	det1	vacuum	160	900	25.4	4833.93	5.37	420.90	11.46	11.97	0.20	0.68049
11	Ra-226	det1	vacuum	160	900	25.4	5493.41	5.37	585.30	11.46	15.74	0.20	0.68049
11	Ra-226	det1	vacuum	160	900	25.4	6093.15	5.37	386.17	11.46	9.16	0.20	0.68049
11	Ra-226	det1	vacuum	160	900	25.4	7790.91	1.90	462.36	5.20	11.13	0.10	0.80179
12	Ra-226	det1	vacuum	180	1000	25.4	4818.15	7.70	445.70	14.46	10.61	0.28	0.69359
12	Ra-226	det1	vacuum	180	1000	25.4	5489.26	7.70	674.10	14.46	14.69	0.28	0.69359
12	Ra-226	det1	vacuum	180	1000	25.4	6103.59	7.70	387.67	14.46	7.92	0.28	0.69359
12	Ra-226	det1	vacuum	180	1000	25.4	7776.41	2.51	463.29	6.79	9.68	0.11	0.69792
13	Ra-226	det1	vacuum	200	1107	25.4	4798.29	11.25	482.73	18.38	9.65	0.41	0.73135
13	Ra-226	det1	vacuum	200	1107	25.4	5474.79	11.25	722.53	18.38	14.62	0.41	0.73135
13	Ra-226	det1	vacuum	200	1107	25.4	6089.87	11.25	422.89	18.38	6.96	0.41	0.73135
13	Ra-226	det1	vacuum	200	1107	25.4	7756.52	2.69	527.71	7.59	8.93	0.10	0.72041
